configure: size variance = 0.8, 1.2
configure: angle variance = 0, 360

tree: Birch_River_Desktop_3_Forest.bin; pos=1677.14, 5.93, 2760.24; angle = 13; size = 1.00
tree: Birch_River_Desktop_3_Forest.bin; pos=1533.94, 6.32, 2182.74; angle = -8; size = 1.00
tree: Birch_River_Desktop_3_Forest.bin; pos=1530.21, 7.52, 2181.23; angle = 10; size = 1.15
tree: Birch_River_Desktop_3_Forest.bin; pos=1543.02, 7.67, 2181.29; angle = 16; size = 1.00
tree: Birch_River_Desktop_3_Forest.bin; pos=1517.65, 7.67, 2181.0; angle = -21; size = 0.82
tree: Birch_River_Desktop_3_Forest.bin; pos=1552.28, 7.57, 2165.0; angle = -0; size = 0.78
tree: Birch_River_Desktop_3_Forest.bin; pos=1527.42, 7.54, 2164.72; angle = 27; size = 1.03
tree: Birch_River_Desktop_3_Forest.bin; pos=1540.23, 7.67, 2164.82; angle = 4; size = 0.81
tree: Birch_River_Desktop_3_Forest.bin; pos=1514.87, 7.67, 2164.45; angle = 6; size = 1.13
tree: Birch_River_Desktop_3_Forest.bin; pos=1581.42, 5.68, 2733.77; angle = 33; size = 0.75
tree: Birch_River_Desktop_3_Forest.bin; pos=1645.23, 5.93, 2733.77; angle = 28; size = 0.79
tree: Birch_River_Desktop_3_Forest.bin; pos=1629.28, 5.68, 2733.76; angle = 37; size = 0.82
tree: Birch_River_Desktop_3_Forest.bin; pos=1597.37, 5.43, 2733.77; angle = -34; size = 1.17
tree: Birch_River_Desktop_3_Forest.bin; pos=1613.32, 5.93, 2733.77; angle = 6; size = 0.75
tree: Birch_River_Desktop_3_Forest.bin; pos=1661.18, 5.68, 2733.76; angle = -11; size = 0.71
tree: Birch_River_Desktop_3_Forest.bin; pos=1709.04, 5.43, 2733.77; angle = 39; size = 1.29
tree: Birch_River_Desktop_3_Forest.bin; pos=1693.09, 5.43, 2733.77; angle = 0; size = 1.28
tree: Birch_River_Desktop_3_Forest.bin; pos=1677.14, 5.68, 2733.76; angle = -29; size = 0.90
tree: Birch_River_Desktop_3_Forest.bin; pos=1724.99, 5.93, 2733.77; angle = -5; size = 1.20
tree: Birch_River_Desktop_3_Forest.bin; pos=1645.23, 5.68, 2760.24; angle = -22; size = 0.96
tree: Birch_River_Desktop_3_Forest.bin; pos=1629.28, 5.43, 2760.24; angle = -13; size = 1.13
tree: Birch_River_Desktop_3_Forest.bin; pos=1597.37, 5.68, 2760.24; angle = 13; size = 1.30
tree: Birch_River_Desktop_3_Forest.bin; pos=1613.33, 5.93, 2760.24; angle = -7; size = 1.06
tree: Birch_River_Desktop_3_Forest.bin; pos=1709.04, 5.68, 2760.24; angle = 2; size = 1.01
tree: Birch_River_Desktop_3_Forest.bin; pos=1693.09, 3.13, 2760.24; angle = 33; size = 0.81
tree: Birch_River_Desktop_3_Forest.bin; pos=1661.18, 5.43, 2760.24; angle = 16; size = 1.11
tree: Birch_River_Desktop_3_Forest.bin; pos=1724.99, 5.68, 2760.24; angle = -4; size = 0.82
tree: Birch_River_Desktop_3_Forest.bin; pos=1772.85, 5.93, 2733.77; angle = -43; size = 1.28
tree: Birch_River_Desktop_3_Forest.bin; pos=1756.90, 5.68, 2733.76; angle = 18; size = 0.91
tree: Birch_River_Desktop_3_Forest.bin; pos=1740.95, 5.68, 2733.76; angle = -44; size = 1.21
tree: Birch_River_Desktop_3_Forest.bin; pos=1836.66, 5.93, 2733.77; angle = 43; size = 1.13
tree: Birch_River_Desktop_3_Forest.bin; pos=1820.71, 5.68, 2733.76; angle = 2; size = 1.26
tree: Birch_River_Desktop_3_Forest.bin; pos=1788.80, 5.68, 2733.77; angle = 42; size = 1.09
tree: Birch_River_Desktop_3_Forest.bin; pos=1804.76, 5.43, 2733.77; angle = 11; size = 1.07
tree: Birch_River_Desktop_3_Forest.bin; pos=1900.47, 5.68, 2733.77; angle = -9; size = 0.99
tree: Birch_River_Desktop_3_Forest.bin; pos=1884.52, 5.68, 2733.77; angle = -21; size = 0.83
