tree: brands_hi1.bin; pos=1795.64, 1.94, -6613.61; angle = -6; size = 0.80
tree: Birch_River_Desktop_3_Forest.bin; pos=1736.94, 2.49, -6659.29; angle = 12; size = 0.67
tree: Birch_River_Desktop_3_Forest.bin; pos=1748.70, 2.49, -6626.94; angle = -16; size = 0.81
tree: Birch_River_Desktop_7_Forest.bin; pos=1705.32, 2.49, -6682.24; angle = -0; size = 0.83
tree: brands_hi1.bin; pos=1673.23, 1.94, -6650.09; angle = 21; size = 0.66
tree: brands_hi2.bin; pos=1709.01, 1.94, -6608.41; angle = 3; size = 0.81
tree: brands_hi1.bin; pos=1658.89, 1.94, -6614.24; angle = 5; size = 0.60
tree: Pine_Aleppo_Desktop_5_Forest_custom1.bin; pos=1584.46, 2.49, -6586.19; angle = 21; size = 0.83
tree: Birch_River_Desktop_7_Forest.bin; pos=1595.77, 2.49, -6574.52; angle = 29; size = 0.80
tree: Birch_River_Desktop_3_Forest.bin; pos=1598.16, 2.49, -6559.66; angle = -26; size = 2.02
tree: Birch_River_Desktop_7_Forest.bin; pos=1603.49, 2.49, -6542.54; angle = 5; size = 0.85
tree: brands_hi1.bin; pos=1603.93, 1.94, -6528.4; angle = -9; size = 0.88
tree: brands_hi1.bin; pos=1619.19, 1.94, -6498.44; angle = 30; size = 0.49
tree: brands_hi2.bin; pos=1618.76, 1.94, -6513.93; angle = -23; size = 0.75
tree: brands_hi2.bin; pos=1637.32, 1.94, -6555.47; angle = -4; size = 0.55
tree: brands_hi2.bin; pos=1649.09, 1.94, -6534.7; angle = -17; size = 0.71
tree: brands_hi2.bin; pos=1702.58, 1.94, -6479.19; angle = -10; size = 0.60
tree: brands_hi1.bin; pos=1716.42, 1.94, -6459.29; angle = 10; size = 0.48
tree: brands_hi1.bin; pos=1674.88, 1.94, -6441.83; angle = -5; size = 0.64
tree: Oak_White_Hero_Field_2.bin; pos=1663.09, 2.49, -6427.2; angle = 1; size = 0.68
tree: Oak_White_Hero_Field_3.bin; pos=1683.30, 2.49, -6458.05; angle = 26; size = 0.81
tree: Pine_Aleppo_Desktop_5_Forest_custom1.bin; pos=1667.54, 2.49, -6456.97; angle = 12; size = 0.61
tree: brands_hi1.bin; pos=1644.73, 1.94, -6476.57; angle = 10; size = 0.84
tree: brands_hi1.bin; pos=1646.57, 1.94, -6505.98; angle = -3; size = 0.80
