configure: size variance = 0.8, 1.2
configure: angle variance = 0, 360

tree: populus3.bin; pos=-4598.23, 34.30, -6069.9; angle = 0; size = 0.48
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4558.35, 34.34, -6099.18; angle = -66; size = 0.57
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4538.85, 34.07, -6171.27; angle = 128; size = 0.68
tree: Birch_River_Desktop_8_Forest.bin; pos=-4554.41, 34.37, -6140.23; angle = -227; size = 1.00
tree: Birch_River_Desktop_8_Forest.bin; pos=-4513.63, 33.48, -6187.17; angle = -201; size = 0.76
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4512.43, 32.29, -6220.43; angle = 0; size = 0.70
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4544.41, 34.42, -6127.2; angle = -44; size = 0.66
tree: Birch_River_Desktop_8_Forest.bin; pos=-4523.77, 33.75, -6167.83; angle = 0; size = 0.74
tree: Birch_River_Desktop_8_Forest.bin; pos=-4528.95, 33.75, -6189.3; angle = 49; size = 1.00
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4490.39, 30.45, -6253.49; angle = 136; size = 0.67
tree: populus3.bin; pos=-4480.91, 31.61, -6230.63; angle = 0; size = 0.57
tree: populus3.bin; pos=-4480.02, 31.48, -6233.46; angle = 0; size = 0.30
tree: populus3.bin; pos=-4399.89, 31.98, -6063.98; angle = -61; size = 1.00
tree: populus4.bin; pos=-4423.19, 32.56, -6056.38; angle = -0; size = 1.00
tree: populus3.bin; pos=-4407.97, 32.10, -6060.95; angle = -0; size = 0.83
tree: populus3.bin; pos=-4434.89, 32.97, -6052.88; angle = -0; size = 0.59
tree: populus3.bin; pos=-4148.97, 22.42, -6160.85; angle = -0; size = 0.51
tree: populus4.bin; pos=-4153.07, 22.72, -6159.08; angle = -0; size = 0.55
tree: populus3.bin; pos=-4134.51, 21.08, -6166.79; angle = -0; size = 0.60
tree: populus4.bin; pos=-4125.47, 20.43, -6170.47; angle = -0; size = 0.80
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4093.29, 16.19, -6260.63; angle = -191; size = 0.39
tree: Birch_River_Desktop_8_Forest.bin; pos=-4098.71, 16.20, -6272.15; angle = 0; size = 0.41
tree: Birch_River_Desktop_8_Forest.bin; pos=-4103.99, 16.27, -6282.88; angle = 152; size = 0.34
tree: Birch_River_Desktop_8_Forest.bin; pos=-4105.66, 16.24, -6286.21; angle = 0; size = 0.29
tree: Birch_River_Desktop_8_Forest.bin; pos=-4119.43, 16.26, -6308.0; angle = 0; size = 0.57
tree: Birch_River_Desktop_8_Forest.bin; pos=-4127.32, 16.04, -6330.73; angle = 268; size = 0.39
tree: Birch_River_Desktop_8_Forest.bin; pos=-4091.33, 16.05, -6345.4; angle = 0; size = 0.42
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4077.86, 16.26, -6339.71; angle = -108; size = 0.39
tree: Birch_River_Desktop_8_Forest.bin; pos=-4062.23, 16.40, -6335.6; angle = 162; size = 0.42
tree: Birch_River_Desktop_8_Forest.bin; pos=-4054.39, 16.37, -6329.27; angle = 0; size = 0.48
tree: Birch_River_Desktop_8_Forest.bin; pos=-4049.13, 16.47, -6317.43; angle = -165; size = 0.52
tree: Birch_River_Desktop_8_Forest.bin; pos=-4032.12, 16.15, -6270.34; angle = -84; size = 0.47
tree: brands_hi1.bin; pos=-4132.83, 16.51, -6424.93; angle = 0; size = 0.43
tree: brands_hi2.bin; pos=-4127.96, 16.55, -6440.38; angle = 0; size = 0.59
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4123.36, 16.61, -6431.73; angle = 80; size = 0.43
tree: Birch_River_Desktop_8_Forest.bin; pos=-4126.16, 16.57, -6424.76; angle = 1; size = 0.60
tree: Birch_River_Desktop_3_Forest.bin; pos=-4130.28, 16.57, -6415.9; angle = 0; size = 0.91
tree: Birch_River_Desktop_8_Forest.bin; pos=-4135.69, 16.57, -6406.22; angle = 0; size = 0.32
tree: Birch_River_Desktop_8_Forest.bin; pos=-4132.24, 16.57, -6409.79; angle = 0; size = 0.40
tree: Oak_White_Hero_Field_2.bin; pos=-4069.66, 16.89, -6442.2; angle = 0; size = 0.50
tree: Birch_River_Desktop_3_Forest.bin; pos=-4056.74, 16.89, -6441.01; angle = 0; size = 0.84
tree: populus3.bin; pos=-4076.32, 16.36, -6484.41; angle = 0; size = 0.59
tree: populus4.bin; pos=-4074.79, 16.35, -6490.7; angle = 63; size = 0.56
tree: populus3.bin; pos=-4090.51, 16.34, -6506.84; angle = -5; size = 0.64
tree: Birch_River_Desktop_8_Forest.bin; pos=-4159.90, 16.29, -6455.19; angle = 65; size = 0.89
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4137.25, 16.25, -6472.36; angle = -287; size = 0.62
tree: Birch_River_Desktop_8_Forest.bin; pos=-4161.80, 16.41, -6473.63; angle = 4; size = 0.67
tree: Birch_River_Desktop_8_Forest.bin; pos=-4181.51, 16.45, -6471.74; angle = -104; size = 1.00
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4179.23, 16.54, -6452.68; angle = 251; size = 0.56
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4268.99, 18.21, -6440.76; angle = 110; size = 0.45
tree: Birch_River_Desktop_8_Forest.bin; pos=-4249.60, 17.26, -6446.94; angle = 79; size = 0.63
tree: Birch_River_Desktop_8_Forest.bin; pos=-4240.63, 17.18, -6449.98; angle = 41; size = 0.74
tree: Birch_River_Desktop_8_Forest.bin; pos=-4235.03, 17.12, -6437.16; angle = -131; size = 0.80
tree: Birch_River_Desktop_8_Forest.bin; pos=-4266.46, 17.93, -6426.63; angle = 72; size = 0.82
tree: Birch_River_Desktop_8_Forest.bin; pos=-4293.24, 19.20, -6432.55; angle = 52; size = 0.58
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4286.48, 18.85, -6434.87; angle = 84; size = 0.44
tree: Birch_River_Desktop_8_Forest.bin; pos=-4298.45, 19.69, -6415.92; angle = -155; size = 1.00
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4322.26, 20.39, -6422.87; angle = 88; size = 0.41
tree: Birch_River_Desktop_3_Forest.bin; pos=-4325.64, 20.70, -6406.73; angle = 0; size = 1.00
tree: Birch_River_Desktop_8_Forest.bin; pos=-4333.15, 20.59, -6403.59; angle = -0; size = 0.54
tree: Birch_River_Desktop_8_Forest.bin; pos=-4342.07, 20.70, -6399.58; angle = 91; size = 0.78
tree: Birch_River_Desktop_8_Forest.bin; pos=-4467.47, 29.64, -6261.56; angle = 36; size = 0.53
tree: Birch_River_Desktop_3_Forest.bin; pos=-4477.31, 29.72, -6272.38; angle = 0; size = 0.81
tree: Birch_River_Desktop_8_Forest.bin; pos=-4473.92, 29.28, -6277.27; angle = 0; size = 0.54
tree: Birch_River_Desktop_8_Forest.bin; pos=-4455.48, 28.75, -6279.04; angle = -162; size = 0.69
tree: Birch_River_Desktop_8_Forest.bin; pos=-4455.79, 28.11, -6304.06; angle = 323; size = 0.75
tree: Birch_River_Desktop_8_Forest.bin; pos=-4447.43, 28.06, -6290.86; angle = 115; size = 0.55
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4450.86, 27.53, -6311.05; angle = 129; size = 0.58
tree: Birch_River_Desktop_8_Forest.bin; pos=-4442.71, 28.01, -6297.77; angle = -75; size = 0.68
tree: Birch_River_Desktop_8_Forest.bin; pos=-4439.47, 27.84, -6302.61; angle = 118; size = 0.64
tree: Birch_River_Desktop_8_Forest.bin; pos=-4439.70, 26.46, -6327.23; angle = 1; size = 0.64
tree: Birch_River_Desktop_8_Forest.bin; pos=-4411.49, 25.32, -6341.17; angle = 121; size = 0.70
tree: Birch_River_Desktop_8_Forest.bin; pos=-4400.81, 24.58, -6352.39; angle = -87; size = 0.71
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4382.54, 23.31, -6369.63; angle = -60; size = 0.42
tree: Birch_River_Desktop_8_Forest.bin; pos=-4385.47, 22.95, -6386.22; angle = 81; size = 0.78
tree: Birch_River_Desktop_8_Forest.bin; pos=-4427.87, 26.09, -6343.42; angle = 120; size = 0.62
tree: Birch_River_Desktop_8_Forest.bin; pos=-4372.84, 21.83, -6397.01; angle = 214; size = 0.57
tree: Birch_River_Desktop_8_Forest.bin; pos=-4358.22, 21.28, -6390.2; angle = 151; size = 0.69
tree: populus3.bin; pos=-4366.28, 22.11, -6383.87; angle = -0; size = 0.71
tree: populus3.bin; pos=-4362.64, 21.76, -6386.64; angle = -0; size = 0.53
tree: populus3.bin; pos=-4467.32, 30.28, -6252.0; angle = -66; size = 0.41
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4494.42, 31.84, -6215.26; angle = -95; size = 0.49
tree: Birch_River_Desktop_8_Forest.bin; pos=-4498.05, 32.39, -6212.54; angle = 0; size = 0.52
tree: Birch_River_Desktop_8_Forest.bin; pos=-4504.91, 32.85, -6203.5; angle = 0; size = 0.64
tree: Birch_River_Desktop_8_Forest.bin; pos=-4523.39, 33.60, -6199.66; angle = -0; size = 0.63
tree: populus3.bin; pos=-4139.85, 20.54, -6209.04; angle = 0; size = 0.70
tree: populus4.bin; pos=-4125.44, 19.33, -6215.21; angle = 0; size = 0.77
tree: populus4.bin; pos=-4179.41, 23.71, -6191.85; angle = -0; size = 0.74
tree: populus3.bin; pos=-4190.08, 24.56, -6187.7; angle = 165; size = 0.68
tree: populus3.bin; pos=-4199.31, 25.39, -6184.81; angle = 0; size = 0.73
tree: populus3.bin; pos=-4219.68, 26.99, -6176.3; angle = -0; size = 0.81
tree: populus4.bin; pos=-4231.05, 28.07, -6171.8; angle = -0; size = 0.66
tree: populus3.bin; pos=-4241.13, 28.66, -6167.46; angle = 0; size = 1.00
tree: Birch_River_Desktop_8_Forest.bin; pos=-4410.39, 32.28, -6125.36; angle = 0; size = 0.39
tree: Birch_River_Desktop_8_Forest.bin; pos=-4398.92, 32.25, -6130.04; angle = -236; size = 0.47
tree: Birch_River_Desktop_8_Forest.bin; pos=-4420.43, 32.68, -6137.31; angle = 203; size = 0.43
tree: Birch_River_Desktop_8_Forest.bin; pos=-4428.80, 33.78, -6165.08; angle = 0; size = 0.53
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4437.37, 33.82, -6175.19; angle = 0; size = 0.31
tree: Birch_River_Desktop_8_Forest.bin; pos=-4444.50, 33.59, -6184.06; angle = 0; size = 0.37
tree: Birch_River_Desktop_8_Forest.bin; pos=-4453.51, 33.53, -6177.47; angle = 0; size = 0.37
tree: Birch_River_Desktop_8_Forest.bin; pos=-4474.03, 32.57, -6200.97; angle = 101; size = 0.51
tree: Birch_River_Desktop_9B_Forest.bin; pos=-4465.69, 32.68, -6207.82; angle = -3; size = 0.40
tree: Birch_River_Desktop_8_Forest.bin; pos=-4482.20, 32.12, -6211.04; angle = -196; size = 0.68
tree: populus3.bin; pos=-4441.66, 32.84, -6094.99; angle = 176; size = 0.56
tree: populus4.bin; pos=-4423.65, 32.38, -6100.45; angle = -26; size = 1.00
tree: populus4.bin; pos=-4478.59, 34.08, -6084.18; angle = -0; size = 0.34
tree: populus3.bin; pos=-4502.30, 34.49, -6078.17; angle = -0; size = 0.34
tree: populus4.bin; pos=-4570.88, 34.45, -6062.6; angle = -0; size = 0.53
tree: populus4.bin; pos=-4649.00, 34.00, -6028.0; angle = 62; size = 0.37
tree: populus3.bin; pos=-4608.18, 34.43, -6063.18; angle = 74; size = 0.44
tree: populus3.bin; pos=-4633.98, 34.43, -6041.98; angle = 83; size = 0.43
tree: populus3.bin; pos=-4618.37, 34.40, -6054.54; angle = -0; size = 0.45
tree: populus4.bin; pos=-4656.83, 34.43, -6015.47; angle = 53; size = 0.60
tree: populus3.bin; pos=-4664.75, 34.45, -6005.43; angle = 1; size = 0.33
tree: populus4.bin; pos=-4670.71, 34.41, -5995.39; angle = -24; size = 0.61
tree: populus3.bin; pos=-4691.10, 34.43, -5963.09; angle = 1; size = 0.49
